Country,City,Airport name,IATA
United States of America,Bossier City,Barksdale Air Force Base,BAD
France,Le Castellet,Barcelonnette - Saint-Pons Airfield,BAE
United States of America,Westfield,Westfield-Barnes Regional Airport,BAF
Philippines,Baguio City,Loakan Airport,BAG
Bahrain,Manama,Bahrain International Airport,BAH
Costa Rica,Punta Arenas,Buenos Aires Airport,BAI
Papua New Guinea,Unea Island,Bali Airport,BAJ
Turkey,Batman,Batman Airport,BAL
United States of America,Battle Mountain,Battle Mountain Airport,BAM
Democratic Republic of the Congo,Basongo,Basongo Airport,BAN
Thailand,Ban Mak Khaen,Udorn Air Base,BAO
Colombia,Barranquilla,Ernesto Cortissoz International Airport,BAQ
China,Qionghai (Basuo),Qionghai Bo'ao Airport,BAR
Solomon Islands,Ballalae,Ballalae Airport,BAS
Brazil,Barretos,Chafei Amsei Airport,BAT
Brazil,Bauru,Bauru Airport,BAU
China,Baotou,Baotou Donghe Airport,BAV
Russia,Barnaul,Barnaul Airport,BAX
Romania,Tăuții-Măgherăuș,Maramureș International Airport,BAY
Brazil,Barcelos,Barcelos Airport,BAZ
Chile,Balmaceda,Balmaceda Airport,BBA
United States of America,Benson,Benson Municipal Airport,BBB
United States of America,Bay City,Bay City Regional Airport,BBC
United States of America,Brady,Curtis Field,BBD
Kiribati,Butaritari,Butaritari Airport,BBG
Germany,Barth,Stralsund-Barth Airport,BBH
India,Bhubaneswar,Biju Patnaik Airport,BBI
Germany,Bitburg,Bitburg Airport,BBJ
Botswana,Kasane,Kasane Airport,BBK
Australia,Ballera,Ballera Airport,BBL
Cambodia,Battambang,Battambang Airport,BBM
Malaysia,Bario,Bario Airport,BBN
Somalia,Berbera,Berbera Airport,BBO
United Kingdom,Bembridge,Bembridge Airport,BBP
Antigua and Barbuda,Codrington,Codrington Airport,BBQ
Guadeloupe,Basse-Terre,Basse-Terre Baillif Airport,BBR
United Kingdom,"Camberley, Surrey",Blackbushe Airport,BBS
Central African Republic,Berbérati,Berbérati Airport,BBT
Romania,Bucharest,Bucharest Băneasa Aurel Vlaicu International Airport,BBU
Ivory Coast,Grand-Béréby,Nero-Mer Airport,BBV
United States of America,Broken Bow,Broken Bow Municipal Airport,BBW
United States of America,Philadelphia,Wings Field,BBX
Central African Republic,Bambari,Bambari Airport,BBY
Zambia,Zambezi,Zambezi Airport,BBZ
Cuba,Baracoa,Gustavo Rizo Airport,BCA
United States of America,Blacksburg,Virginia Tech Montgomery Executive Airport,BCB
United States of America,Bear Creek,Bear Creek 3 Airport,BCC
Philippines,Bacolod City,Bacolod-Silay Airport,BCD
United States of America,Bryce Canyon,Bryce Canyon Airport,BCE
Central African Republic,Bouca,Bouca Airport,BCF
Guyana,Kumaka,Bemichi Airport,BCG
East Timor,Baucau,Cakung Airport,BCH
Australia,Barcaldine,Barcaldine Airport,BCI
Australia,Bolwarra,Bolwarra Airport,BCK
Costa Rica,Pococi,Barra del Colorado Airport,BCL
Romania,Bacău,Bacău George Enescu International Airport,BCM
Spain,Barcelona,Josep Tarradellas Barcelona-El Prat Airport,BCN
Ethiopia,Baco,Baco Airport,BCO
Papua New Guinea,Bambu,Bambu Airport,BCP
Libya,Brak,Brak Airport,BCQ
Brazil,Boca do Acre,Novo Campo Airport,BCR
United States of America,Belle Chasse,Southern Seaplane Airport,BCS
United States of America,Boca Raton,Boca Raton Airport,BCT
Nigeria,Bauchi,Sir Abubakar Tafawa Balewa International Airport,BCU
Belize,Belmopan,Hector Silva Airstrip,BCV
Mozambique,Benguera Island,Benguera Island Airport,BCW
Russia,Beloretsk,Beloretsk Airport,BCX
Australia,Bickerton Island,Milyakburra Airport,BCZ
Bermuda,Hamilton,L.F. Wade International Airport,BDA
Australia,Bundaberg,Bundaberg Airport,BDB
Brazil,Barra do Corda,Barra do Corda Airport,BDC
Australia,Badu Island,Badu Island Airport,BDD
United States of America,Baudette,Baudette International Airport,BDE
United States of America,Bradford,Rinkenberger Restricted Landing Area,BDF
United States of America,Blanding,Blanding Municipal Airport,BDG
Iran,Bandar Lengeh,Bandar Lengeh International Airport,BDH
Seychelles,Bird Island,Bird Island Airport,BDI
Indonesia,Landasan Ulin,Syamsudin Noor International Airport,BDJ
Ivory Coast,Bondoukou,Soko Airport,BDK
United States of America,Hartford,Bradley International Airport,BDL
Turkey,Bandırma,Bandırma Airport,BDM
Pakistan,Badin,Talhar Airport,BDN
Indonesia,Bandung,Husein Sastranegara International Airport,BDO
Nepal,Bhadrapur,Bhadrapur Airport,BDP
India,Vadodara,Vadodara Airport,BDQ
United States of America,Bridgeport,Igor I Sikorsky Memorial Airport,BDR
Italy,Brindisi,Brindisi Airport,BDS
Democratic Republic of the Congo,Gbadolite,Gbadolite Airport,BDT
Norway,Målselv,Bardufoss Airport,BDU
Democratic Republic of the Congo,Moba,Moba Airport,BDV
Australia,Bedford Downs ,Bedford Downs Airport,BDW
United States of America,Broadus,Broadus Airport,BDX
United States of America,Bandon,Bandon State Airport,BDY
Papua New Guinea,Baindoung,Baindoung Airport,BDZ
United Kingdom,Balivanich,Benbecula Airport,BEB
United States of America,Wichita,Beech Factory Airport,BEC
United States of America,Bedford,Laurence G Hanscom Field,BED
Australia,Dampier Peninsula,Beagle Bay Airport,BEE
Nicaragua,Bluefileds,Bluefields Airport,BEF
Serbia,Belgrade,Belgrade Nikola Tesla Airport,BEG
United States of America,Benton Harbor,Southwest Michigan Regional Airport,BEH
Ethiopia,Beica,Beica Airport,BEI
Indonesia,Tanjung Redeb - Borneo Island,Kalimarau Airport,BEJ
India,Bareilly,Bareilly Air Force Station,BEK
Brazil,Belém,Val de Cans/Júlio Cezar Ribeiro International Airport,BEL
Morocco,Oulad Yaich,Beni Mellal Airport,BEM
Libya,Benina,Benina International Airport,BEN
India,Bellary,Bellary Airport,BEP
United Kingdom,"Bury Saint Edmunds, Suffolk",RAF Honington,BEQ
Germany,Berlin,Berlin Brandenburg Airport,BER
France,Brest/Guipavas,Brest Bretagne Airport,BES
United States of America,Bethel,Bethel Airport,BET
Australia,,Bedourie Airport,BEU
Israel,Beersheba,Beersheba (Teyman) Airport,BEV
Mozambique,Beira,Beira Airport,BEW
United Kingdom,Benson,RAF Benson,BEX
Lebanon,Beirut,Beirut Rafic Hariri International Airport,BEY
Kiribati,Beru,Beru Airport,BEZ
Paraguay,Bahía Negra,Aeródromo de Bahía Negra,BFA
Australia,,Bloomfield River Airport,BFC
United States of America,Bradford,Bradford Regional Airport,BFD
Germany,Bielefeld,Bielefeld Airport,BFE
United States of America,Scottsbluff,Western Neb. Rgnl/William B. Heilig Airport,BFF
United States of America,Bullfrog,Bullfrog Basin Airport,BFG
Brazil,Curitiba,Bacacheri Airport,BFH
United States of America,Seattle,Boeing Field King County International Airport,BFI
China,Bijie,Bijie Feixiong Airport,BFJ
United States of America,Aurora,Buckley Space Force Base,BFK
United States of America,Bakersfield,Meadows Field,BFL
United States of America,Mobile,Mobile Downtown Airport,BFM
South Africa,Bloemfontain,Bram Fischer International Airport,BFN
Zimbabwe,Chiredzi,Buffalo Range Airport,BFO
United States of America,Beaver Falls,Beaver County Airport,BFP
Panama,Puerto Piña,Bahia Piña Airport,BFQ
United States of America,Bedford,Virgil I Grissom Municipal Airport,BFR
United Kingdom,Belfast,Belfast International Airport,BFS
United States of America,Beaufort,Beaufort Executive Airport,BFT
China,Bengbu,Bengbu Tenghu Airport,BFU
Thailand,Buriram,Buri Ram Airport,BFV
Algeria,Sidi Bel Abbès,Sidi Bel Abbes Airport,BFW
Cameroon,Bafoussam,Bafoussam Airport,BFX
Colombia,Bucaramanga,Palonegro Airport,BGA
Gabon,Booue,Booue Airport,BGB
Portugal,Bragança,Bragança Airport,BGC
United States of America,Borger,Hutchinson County Airport,BGD
United States of America,Bainbridge,Decatur County Industrial Air Park,BGE
Central African Republic,Bangui,Bangui M'Poko International Airport,BGF
Turkey,Bingöl,Bingöl Airport,BGG
Mauritania,Boghe,Abbaye Airport,BGH
Barbados,Bridgetown,Grantley Adams International Airport,BGI
Iceland,Borgarfjörður eystri,Borgarfjörður eystri Airport,BGJ
Belize,Big Creek,Big Creek Airport,BGK
Nepal,Baglung,Baglung Airport,BGL
United States of America,Binghamton,Greater Binghamton/Edwin A Link field,BGM
Russia,Belaya Gora,Belaya Gora Airport,BGN
Norway,Bergen,"Bergen Airport, Flesland",BGO
United States of America,Big Lake,Big Lake Airport,BGQ
United States of America,Bangor,Bangor International Airport,BGR
United States of America,Bagdad,Bagdad Airport,BGT
Central African Republic,Bangassou,Bangassou Airport,BGU
Brazil,Bento Gonçalves,Aeroclube de Bento Gonçalves Airport,BGV
Iraq,Baghdad,Baghdad International Airport / New Al Muthana Air Base,BGW
Brazil,Bagé,Comandante Gustavo Kraemer Airport,BGX
Italy,Orio al Serio (BG),Milan Bergamo Airport / Antonio Locatelli Air Base,BGY
Portugal,Braga,Braga Municipal Aerodrome,BGZ
Ecuador,Bahía de Caraquez,Los Perales Airport,BHA
United States of America,Bar Harbor,Hancock County-Bar Harbor Airport,BHB
Pakistan,Bhurban,Bhurban Heliport,BHC
United Kingdom,Belfast,George Best Belfast City Airport,BHD
New Zealand,Blenheim,Woodbourne Airport,BHE
Honduras,Brus Laguna,Brus Laguna Airport,BHG
Saudi Arabia,Bisha,Bisha Airport,BHH
Argentina,Bahia Blanca,Comandante Espora Airport,BHI
India,Bhuj,Bhuj Airport,BHJ
Uzbekistan,Bukhara,Bukhara International Airport,BHK
Mexico,Ensenada,Bahía de los Ángeles Airport,BHL
United States of America,Birmingham,Birmingham-Shuttlesworth International Airport,BHM
Yemen,Beihan,Beihan Airport,BHN
India,Bhopal,Raja Bhoj International Airport,BHO
Nepal,Bhojpur,Bhojpur Airport,BHP
Australia,Broken Hill,Broken Hill Airport,BHQ
Nepal,Bharatpur,Bharatpur Airport,BHR
Australia,Bathurst,Bathurst Airport,BHS
Australia,Brighton Downs,Brighton Downs Airport,BHT
India,Bhavnagar,Bhavnagar Airport,BHU
Pakistan,Bahawalpur,Bahawalpur Airport,BHV
Pakistan,Bhagatanwala,Bhagatanwala Airport,BHW
United Kingdom,"Birmingham, West Midlands",Birmingham Airport,BHX
China,Beihai (Yinhai),Beihai Fucheng Airport,BHY
France,Bastia/Poretta,Bastia-Poretta Airport,BIA
Somalia,Baidoa,Baidoa Airport,BIB
France,Bangor,Aérodrome de Belle Île,BIC
United States of America,Block Island,Block Island State Airport,BID
United States of America,Beatrice,Beatrice Municipal Airport,BIE
United States of America,Fort Bliss/El Paso,Biggs Army Air Field (Fort Bliss),BIF
United States of America,Delta Junction Ft Greely,Allen Army Airfield,BIG
United States of America,Bishop,Eastern Sierra Regional Airport,BIH
Marshall Islands,Bikini Atoll,Enyu Airfield,BII
Indonesia,Biak,Frans Kaisiepo Airport,BIK
United States of America,Billings,Billings Logan International Airport,BIL
Bahamas,South Bimini,South Bimini Airport,BIM
Afghanistan,Bamyan,Bamyan Airport,BIN
Spain,Bilbao,Bilbao Airport,BIO
Australia,,Bulimba Airport,BIP
France,Biarritz/Anglet/Bayonne,Biarritz-Anglet-Bayonne Airport,BIQ
Nepal,Biratnagar,Biratnagar Airport,BIR
United States of America,Bismarck,Bismarck Municipal Airport,BIS
Nepal,Baitadi,Baitadi Airport,BIT
Iceland,Bildudalur,Bildudalur Airport,BIU
Central African Republic,Bria,Bria Airport,BIV
Australia,,Billiluna Airport,BIW
United States of America,Biloxi,Keesler Air Force Base,BIX
South Africa,Bisho,Bisho Airport,BIY
Algeria,Béjaïa,Soummam–Abane Ramdane Airport,BJA
Iran,Bojnord,Bojnord Airport,BJB
United States of America,Denver,Rocky Mountain Metropolitan Airport,BJC
Iceland,Bakkafjörður,Bakkafjörður Airport,BJD
Sudan,Baleela Base Camp,Baleela Airport,BJE
Norway,Båtsfjord,Båtsfjord Airport,BJF
Nepal,Bajhang,Bajhang Airport,BJH
United States of America,Bemidji,Bemidji Regional Airport,BJI
United States of America,Wooster,Wayne County Airport,BJJ
Indonesia,Maikoor Island,Benjina Airport,BJK
Gambia,Banjul,Banjul International Airport,BJL
Burundi,Bujumbura,Bujumbura Melchior Ndadaye International Airport,BJM
Bolivia,Bermejo,Bermejo Airport,BJO
Brazil,Bragança Paulista,Estadual Arthur Siqueira Airport,BJP
Oman,Bahja,Bahja Airport,BJQ
Ethiopia,Bahir Dar,Bahir Dar Airport,BJR
Nepal,Bajura,Bajura Airport,BJU
Turkey,Bodrum,Milas Bodrum International Airport,BJV
Indonesia,Soa,Bajawa Soa Airport,BJW
Mexico,Silao,Aeropuerto Internacional del Bajío,BJX
Serbia,Zemun,Batajnica Air Base,BJY
Spain,Badajoz,Badajoz Airport,BJZ
Russia,Baykit,Baykit Airport,BKA
India,Bikaner,Nal Airport,BKB
United States of America,Buckland,Buckland Airport,BKC
United States of America,Breckenridge,Stephens County Airport,BKD
United States of America,Baker City,Baker City Municipal Airport,BKE
United States of America,Branson,Branson Airport,BKG
United States of America,Kekaha,Barking Sands Airport,BKH
Malaysia,Kota Kinabalu,Kota Kinabalu International Airport,BKI
Guinea,Boké,Boké Baralande Airport,BKJ
Thailand,Bangkok,Suvarnabhumi Airport,BKK
United States of America,Cleveland,Burke Lakefront Airport,BKL
Malaysia,Bakalalan,Bakalalan Airport,BKM
Turkmenistan,Balkanabat,Balkanabat Airport,BKN
Mali,Bamako,Modibo Keita International Airport,BKO
Australia,,Barkly Downs Airport,BKP
Australia,Blackall,Blackall Airport,BKQ
Chad,Bokoro,Bokoro Airport,BKR
Indonesia,Bengkulu,Fatmawati Soekarno Airport,BKS
United States of America,Blackstone,Allen C Perkinson Blackstone Army Air Field,BKT
Madagascar,Betioky,Betioky Airport,BKU
United States of America,Beaver,Raleigh County Memorial Airport,BKW
United States of America,Brookings,Brookings Regional Airport,BKX
Democratic Republic of the Congo,Kamakombe,Bukavu Kavumu Airport,BKY
Tanzania,Bukoba,Bukoba Airport,BKZ
Venezuela,Barcelona,General José Antonio Anzoategui International Airport,BLA
Panama,Panamá City,Panamá Pacífico International Airport,BLB
Cameroon,Bali,Bali Airport,BLC
United States of America,Boulder City,Boulder City Municipal Airport,BLD
Sweden,Borlange,Dala Airport,BLE
United States of America,Bluefield,Mercer County Airport,BLF
Malaysia,Belaga,Belaga Airport,BLG
United States of America,Blythe,Blythe Airport,BLH
United States of America,Bellingham,Bellingham International Airport,BLI
Algeria,Batna,Batna Mostefa Ben Boulaid Airport,BLJ
United Kingdom,Blackpool,Blackpool International Airport,BLK
Denmark,Billund,Billund Airport,BLL
United States of America,Belmar/Farmingdale,Monmouth Executive Airport,BLM
Australia,,Benalla Airport,BLN
Iceland,Blönduós,Hjaltabakki Airport,BLO
Peru,Bellavista,Huallaga Airport,BLP
Italy,Bologna,Bologna Guglielmo Marconi Airport,BLQ
India,Bangalore,Kempegowda International Airport,BLR
Australia,,Bollon Airport,BLS
Australia,,Blackwater Airport,BLT
United States of America,Emigrant Gap,Blue Canyon Nyack Airport,BLU
United States of America,Belleville,Scott AFB/Midamerica Airport,BLV
Somalia,Beledweyne,Beledweyne Airport,BLW
Italy,Belluno (BL),Belluno Arturo dell'Oro Airport,BLX
Ireland,Belmullet,Belmullet Aerodrome,BLY
Malawi,Blantyre,Chileka International Airport,BLZ
Sweden,Stockholm,Stockholm-Bromma Airport,BMA
Democratic Republic of the Congo,Bumba,Bumba Airport,BMB
United States of America,Brigham City,Brigham City Regional Airport,BMC
Madagascar,Belo sur Tsiribihina,Belo sur Tsiribihina Airport,BMD
Australia,Broome,Broome International Airport,BME
Central African Republic,Bakouma,Bakouma Airport,BMF
United States of America,Bloomington,Monroe County Airport,BMG
Papua New Guinea,Bomai,Bomai Airport,BMH
United States of America,Bloomington/Normal,Central Illinois Regional Airport at Bloomington-Normal,BMI
Guyana,Baramita,Baramita Airport,BMJ
Germany,Borkum,Borkum Airport,BMK
United States of America,Berlin,Berlin Regional Airport,BML
Gabon,Bitam,Bitam Airport,BMM
Iraq,Bamarni,Bamarni Airport,BMN
Myanmar,Banmaw,Banmaw Airport,BMO
Australia,,Brampton Island Airport,BMP
Kenya,Bamburi,Bamburi Airport,BMQ
Germany,Baltrum,Baltrum Airport,BMR
Brazil,Brumado,Sócrates Mariani Bittencourt Airport,BMS
United States of America,Beaumont,Beaumont Municipal Airport,BMT
Indonesia,Bima,Sultan Muhammad Salahuddin Airport,BMU
Vietnam,Buon Ma Thuot,Buon Ma Thuot Airport,BMV
Algeria,Bordj Badji Mokhtar,Bordj Badji Mokhtar Airport,BMW
United States of America,Big Mountain,Big Mountain Airport,BMX
New Caledonia,Waala,Île Art - Waala Airport,BMY
Papua New Guinea,Bamu,Bamu Airport,BMZ
United States of America,Nashville,Nashville International Airport,BNA
Democratic Republic of the Congo,Boende,Boende Airport,BNB
Democratic Republic of the Congo,Beni,Beni Airport,BNC
Iran,Bandar Abbas,Bandar Abbas International Airport,BND
Australia,Brisbane,Brisbane International Airport,BNE
United States of America,Banning,Banning Municipal Airport,BNG
Nigeria,Benin,Benin Airport,BNI
Australia,Ballina,Ballina Byron Gateway Airport,BNK
United States of America,Barnwell,Barnwell Regional Airport,BNL
Papua New Guinea,Bodinumu,Bodinumu Airport,BNM
Norway,Brønnøy,"Brønnøysund Airport, Brønnøy",BNN
United States of America,Burns,Burns Municipal Airport,BNO
Pakistan,Bannu,Bannu Airport,BNP
Burkina Faso,Banfora,Banfora Airport,BNR
Venezuela,Barinas,Barinas Airport,BNS
Papua New Guinea,Bundi,Bundi Airport,BNT
Brazil,Blumenau,Blumenau Airport,BNU
United States of America,Boone,Boone Municipal Airport,BNW
Bosnia and Herzegovina,Banja Luka,Banja Luka International Airport,BNX
Solomon Islands,Anua,Bellona/Anua Airport,BNY
Democratic Republic of the Congo,Boma,Boma Airport,BOA
French Polynesia,Motu Mute,Bora Bora Airport,BOB
Panama,Isla Colón,Bocas del Toro International Airport,BOC
France,Bordeaux/Mérignac,Bordeaux-Mérignac Airport,BOD
Republic of the Congo,Boundji,Boundji Airport,BOE
Colombia,Bogota,El Dorado International Airport,BOG
United Kingdom,"Christchurch, Dorset",Bournemouth Airport,BOH
United States of America,Boise,Boise Air Terminal/Gowen Field,BOI
Bulgaria,Burgas,Burgas Airport,BOJ
United States of America,Brookings,Brookings Airport,BOK
India,Mumbai,Chhatrapati Shivaji International Airport,BOM
Caribbean Netherlands,"Kralendijk, Bonaire",Flamingo International Airport,BON
Norway,Bodø,Bodø Airport,BOO
Central African Republic,Bouar,Bouar Airport,BOP
Laos,Ton Phueng,Bokeo International Airport,BOR
United States of America,Boston,Logan International Airport,BOS
Papua New Guinea,Bosset,Bosset Airport,BOT
France,"Bourges, Cher",Bourges Airport,BOU
Papua New Guinea,Boang Island,Boang Airport,BOV
United States of America,Bartow,Bartow Executive Airport,BOW
Australia,,Borroloola Airport,BOX
Burkina Faso,Bobo Dioulasso,Bobo Dioulasso Airport,BOY
Central African Republic,Bozoum,Bozoum Airport,BOZ
Cameroon,Bamenda,Bamenda Airport,BPC
Papua New Guinea,Bapi,Bapi Airstrip,BPD
China,Qinhuangdao (Changli),Qinhuangdao Beidaihe Airport,BPE
Solomon Islands,Batuna Mission Station,Batuna Aerodrome,BPF
Brazil,Barra do Garças,Barra do Garças Airport,BPG
Philippines,Bislig,Bislig Airport,BPH
United States of America,Big Piney,Miley Memorial Field,BPI
Papua New Guinea,Biangabip,Biangabip Airport,BPK
China,Bole,Bole Alashankou Airport,BPL
India,Hyderabad,Begumpet Airport,BPM
Indonesia,Balikpapan,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,BPN
Brazil,Porto Seguro,Porto Seguro Airport,BPS
United States of America,Beaumont/Port Arthur,Jack Brooks Regional Airport,BPT
China,Bangda,Qamdo Bangda Airport,BPX
Madagascar,Besalampy,Besalampy Airport,BPY
Philippines,Baler,Dr Juan C Angara Airport,BQA
Australia,Busselton,Busselton Margaret River Regional Airport,BQB
Iceland,Búðardalur,Búðardalur Airport,BQD
